Key,en,es,ar,fr,de,ru,tr,hi,ur,cn,ig-ng
Email Logs,Email Logs,Registros de correo electrónico,سجلات البريد الإلكتروني,Journaux de courrier électronique,E-Mail-Protokolle,Электронная почта журналов,E-posta Günlükleri,ईमेल लॉग्स,ای میل لاگز,电子邮件日志,Ndekọ email
Last Login,Last Login,Último inicio de sesión,تسجيل الدخول الأخير,Dernière connexion,Letzte Anmeldung,Последний Войти,Son giriş,आखरी लॉगइन,آخری لاگ ان,上次登录,Nbanye ikpeazụ
Information of User,Information of User,Información del Usuario,معلومات المستخدم,Informations de l'utilisateur,Informationen des Benutzers,Информация о пользователе,Kullanıcı Bilgileri,उपयोगकर्ता की जानकारी,صارف کی معلومات,用户信息,Ozi nke onye ọrụ
Edit KYC,Edit KYC,Editar KYC,تحرير اعرف عميلك,Modifier KYC,Bearbeiten Sie KYC,Редактировать KYC,KYC'yi düzenle,केवाईसी संपादित करें,KYC میں ترمیم کریں۔,编辑了解您的客户,Dezie KYC
Information of Logs,Information of Logs,Información de registros,معلومات السجلات,Informations sur les journaux,Informationen zu Protokollen,Информация журналов,Logların Bilgileri,लॉग की जानकारी,نوشتہ جات کی معلومات,日志信息,Ozi nke ndekọ
File not found!,File not found!,¡Archivo no encontrado!,لم يتم العثور على الملف!,Fichier introuvable!,Datei nicht gefunden!,Файл не найден!,Dosya bulunamadı!,फ़ाइल प्राप्त नहीं हुई!,فائل نہیں ملی!,文件未找到！,Ahụghị faịlụ!
Approve,Approve,Aprobar,يعتمد,Approuver,Genehmigen,Утвердить,Onaylamak,मंज़ूरी देना,منظور کرو,批准,Kwado
Reject,Reject,Rechazar,يرفض,Rejeter,Ablehnen,Отклонять,Reddetmek,अस्वीकार करना,رد کرنا,拒绝,Jụ
KYC Information not submitted yet,KYC Information not submitted yet,Información KYC aún no enviada,لم يتم تقديم معلومات KYC بعد,Informations KYC non encore soumises,KYC-Informationen noch nicht übermittelt,Информация KYC еще не отправлена,KYC Bilgileri henüz gönderilmedi,केवाईसी जानकारी अभी तक जमा नहीं की गई है,کے وائی سی کی معلومات ابھی تک جمع نہیں ہوئی ہے۔,KYC信息尚未提交,Edobebeghị ozi KYC
Are you sure to approve,Are you sure to approve,¿Estás seguro de aprobar?,هل أنت متأكد من الموافقة,Etes-vous sûr d'approuver,"Sind Sie sicher, dass Sie zustimmen werden?","Вы уверены, что одобряете",Onayladığınızdan emin misiniz?,क्या आप निश्चित रूप से अनुमोदन करेंगे?,کیا آپ کو منظور ہونا یقینی ہے۔,您确定批准吗,Ị ji n'aka na ị kwadoro
KYC information.,KYC information.,Información KYC.,"معلومات ""اعرف عميلك"".",Informations KYC.,KYC-Informationen.,Информация KYC.,KYC'nin bilgileri.,केवाईसी जानकारी.,KYC کی معلومات۔,KYC 信息。,Ozi KYC.
User Login Logs,User Login Logs,Registros de inicio de sesión de usuario,سجلات دخول المستخدم,Journaux de connexion des utilisateurs,Benutzer-Anmeldeprotokolle,Журналы входа пользователей,Kullanıcı Giriş Günlükleri,उपयोगकर्ता लॉगिन लॉग,یوزر لاگ ان لاگز,用户登录日志,Ndekọ nbanye onye ọrụ
SL.,SL.,SL.,إس إل.,SL.,SL.,СЛ.,SL.,एस.एल.,SL,SL。,SL.
IP,IP,IP,الملكية الفكرية,IP,IP,ИП,IP,आई पी,آئی پی,知识产权,IP
MAC,MAC,IMPERMEABLE,ماك,MAC,MAC,MAC,MAC,मैक,میک,苹果,MAC
Location,Location,Ubicación,موقع,Emplacement,Standort,Расположение,Konum,जगह,مقام,地点,Ebe
Browser | OS,Browser | OS,Navegador | SO,المتصفح | نظام التشغيل,Navigateur | Système d'exploitation,Browser | Betriebssystem,Браузер | Операционные системы,Tarayıcı | işletim sistemi,ब्राउज़र | ओएस,براؤزر | OS,浏览器 |操作系统,Ihe nchọgharị | OS
Login at,Login at,Inicia sesión en,تسجيل الدخول في,Connectez-vous à,Melden Sie sich an unter,Войти в,Giriş yap,पर लॉगइन करें,پر لاگ ان کریں۔,登录于,Banye na
Send,Send,Enviar,يرسل,Envoyer,Schicken,Отправлять,Göndermek,भेजना,بھیجیں,发送,Ziga
Mail Sender(Method),Mail Sender(Method),Remitente de correo (método),مرسل البريد (الطريقة),Expéditeur de courrier (méthode),E-Mail-Absender (Methode),Отправитель почты (Метод),Posta Göndericisi(Yöntem),मेल प्रेषक(विधि),میل بھیجنے والا (طریقہ),邮件发送者(方法),Onye na-eziga ozi (Usoro)
Site Base Color,Site Base Color,Color base del sitio,اللون الأساسي للموقع,Couleur de base du site,Grundfarbe der Website,Базовый цвет сайта,Site Taban Rengi,साइट का आधार रंग,سائٹ کی بنیاد کا رنگ,网站基色,Agba Ntọala Saịtị
Site Secondary Color,Site Secondary Color,Color secundario del sitio,اللون الثانوي للموقع,Couleur secondaire du site,Sekundäre Site-Farbe,Дополнительный цвет сайта,Site İkincil Rengi,साइट द्वितीयक रंग,سائٹ کا ثانوی رنگ,网站次要颜色,Agba nke abụọ saịtị
Select Timezone,Select Timezone,Seleccionar zona horaria,حدد المنطقة الزمنية,Sélectionnez le fuseau horaire,Wähle Zeitzone aus,Выберите часовой пояс,Saat Dilimini Seçin,समयक्षेत्र चुनें,ٹائم زون کو منتخب کریں۔,选择时区,Họrọ mpaghara oge
Site Name,Site Name,Nombre del sitio,اسم الموقع,Nom du site,Site-Name,Название сайта,Site adı,जगह का नाम,جگہ کا نام,站点名称,Aha saịtị
Site Title,Site Title,Título del sitio,عنوان الموقع,Titre du site,Seitentitel,Заголовок сайта,Site Başlığı,घटनास्थल शीर्षक,ویب سائٹ کا عنوان,网站标题,Aha saịtị
OTP Expiration,OTP Expiration,Vencimiento de la OTP,انتهاء صلاحية OTP,Expiration du OTP,OTP-Ablauf,Срок действия одноразового пароля,OTP'nin Sona Ermesi,ओटीपी समाप्ति,OTP کی میعاد ختم,一次性密码过期,Mkpebi OTP
Web Version,Web Version,Versión Web,نسخة الويب,Version Web,Webversion,Веб-версия,Web Sürümü,वेब संस्करण,ویب ورژن,网页版,Ụdị Weebụ
Activation Settings,Activation Settings,Configuración de activación,إعدادات التنشيط,Paramètres d'activation,Aktivierungseinstellungen,Настройки активации,Aktivasyon Ayarları,सक्रियण सेटिंग्स,ایکٹیویشن سیٹنگز,激活设置,Ntọala ịgbalite
Logo (Light Version),Logo (Light Version),Logotipo (versión ligera),الشعار (النسخة الخفيفة),Logo (version légère),Logo (Light-Version),Логотип (облегченная версия),Logo (Hafif Versiyon),लोगो (हल्का संस्करण),لوگو (ہلکا ورژن),标志（浅色版）,Logo (ụdị ọkụ)
Logo (Dark Version),Logo (Dark Version),Logotipo (versión oscura),الشعار (الإصدار الداكن),Logo (version sombre),Logo (dunkle Version),Логотип (Темная версия),Logo (Koyu Versiyon),लोगो (डार्क संस्करण),لوگو (گہرا ورژن),标志（深色版）,Logo (ụdị gbara ọchịchịrị)
Favicon (Light Version),Favicon (Light Version),Favicon (versión ligera),الأيقونة المفضلة (الإصدار الخفيف),Icône de favori (version légère),Favicon (Light-Version),Фавикон (облегченная версия),Favicon (Hafif Sürüm),फ़ेविकॉन (लाइट संस्करण),فیویکن (ہلکا ورژن),网站图标（精简版）,Favicon (ụdị ọkụ)
Favicon (Dark Version),Favicon (Dark Version),Favicon (versión oscura),الأيقونة المفضلة (الإصدار الداكن),Icône de favori (version sombre),Favicon (dunkle Version),Фавикон (темная версия),Favicon (Koyu Versiyon),फ़ेविकॉन (डार्क संस्करण),Favicon (گہرا ورژن),网站图标（深色版）,Favicon (ụdị gbara ọchịchịrị)
Search Engine Optimization (SEO),Search Engine Optimization (SEO),Optimización de motores de búsqueda (SEO),تحسين محركات البحث (SEO),Optimisation des moteurs de recherche (SEO),Suchmaschinenoptimierung (SEO),Поисковая оптимизация (SEO),Arama Motoru Optimizasyonu (SEO),खोज इंजन अनुकूलन (एसईओ),سرچ انجن آپٹیمائزیشن (SEO),搜索引擎优化（SEO）,Nchọcha Nchọcha (SEO)
Thumbnail Image:,Thumbnail Image:,Imagen en miniatura:,الصورة المصغرة:,Image miniature :,Vorschaubild:,Миниатюрное изображение:,Küçük Resim Resmi:,थंबनेल छवि:,تھمب نیل تصویر:,缩略图：,Foto ntanetịime:
Social Title,Social Title,Título social,العنوان الاجتماعي,Titre social,Sozialer Titel,Социальный титул,Sosyal Başlık,सामाजिक शीर्षक,سماجی عنوان,社会头衔,Aha Social
Social Description,Social Description,Descripción social,الوصف الاجتماعي,Description sociale,Soziale Beschreibung,Социальное описание,Sosyal Açıklama,सामाजिक विवरण,سماجی تفصیل,社会描述,Nkọwa ọha
401 - Unauthorized,401 - Unauthorized,401 - No autorizado,401 - غير مصرح به,401 - Non autorisé,401 nicht Autorisiert,401 – Несанкционированный,401 - Yetkisiz,अनधिकृत 401,401 - غیر مجاز,401 - 未经授权,401 - Enweghị ikike
Unauthorized...!,Unauthorized...!,No autorizado...!,غير مرخص...!,Non autorisé...!,Unbefugt...!,Несанкционированный...!,Yetkisiz...!,अनाधिकृत...!,غیر مجاز...!,未经授权……！,Enweghị ikike...!
403 - Forbidden,403 - Forbidden,403 - Prohibido,403 - ممنوع,403 - Interdit,403 Verboten,403 - Запрещено,403 yasak,403 निषिद्ध,403 - حرام,403 - 禁止,403 - Amachibidoro
Forbidden...!,Forbidden...!,Prohibido...!,مُحرَّم...!,Interdit...!,Verboten...!,Запрещенный...!,Yasaklı...!,निषिद्ध...!,ممنوعہ...!,禁止...！,Amachibidoro iwu...!
404 - Page Not Found,404 - Page Not Found,404 - Página no encontrada,404 - الصفحة غير موجودة,404 - Page introuvable,404 Seite nicht gefunden,404 Страница не найдена,404 Sayfa Bulunamadı,404 पृष्ठ नहीं मिला,404 - صفحہ نہیں ملا,404页面不存在,404 - Achọtaghị ibe
Page Not Found...!,Page Not Found...!,¡Página no encontrada...!,الصفحة غير موجودة...!,Page introuvable... !,Seite nicht gefunden...!,Страница не найдена...!,Sayfa bulunamadı...!,पृष्ठ नहीं मिला...!,صفحہ نہیں ملا...!,找不到网页...！,Ahụghị ibe...!
419 - Page Expired,419 - Page Expired,419 - Página caducada,419 - انتهت صلاحية الصفحة,419 - Page expirée,419 – Seite abgelaufen,419 – срок действия страницы истек,419 - Sayfanın Süresi Doldu,419 - पृष्ठ समाप्त हो गया,419 - صفحہ ختم ہو گیا۔,419 - 页面已过期,419 - Ibe kubie ume
Page Expired...!,Page Expired...!,¡Página caducada...!,انتهت الصفحة...!,Page expirée... !,Seite abgelaufen...!,Срок действия страницы истек...!,Sayfanın Süresi Doldu...!,पेज समाप्त हो गया...!,صفحہ ختم ہو گیا...!,页面已过期...！,Ibe kubie ume...!
500 - Server Error,500 - Server Error,500 - Error del servidor,500 - خطأ في الخادم,500 - Erreur du serveur,500 – Serverfehler,500 - Ошибка сервера,500 - Sunucu Hatası,500 - सर्वर त्रुटि,500 - سرور کی خرابی۔,500 - 服务器错误,500 - Njehie nkesa
Server Error...!,Server Error...!,¡Error del servidor...!,خطأ في الخادم...!,Erreur de serveur... !,Serverfehler...!,Ошибка сервера...!,Server hatası...!,सर्वर त्रुटि...!,سرور کی خرابی...!,服务器错误...！,Mperi sava...!
Public,Public,Público,عام,Publique,Öffentlich,Общественный,Halk,जनता,عوام,民众,Ọha
Login Now,Login Now,Iniciar sesión ahora,تسجيل الدخول الآن,Connectez-vous maintenant,Jetzt einloggen,Войти сейчас,Şimdi giriş yap,अभी लॉगिन करें,ابھی لاگ ان کریں۔,现在登录,Banye Ugbu a
Please submit your KYC information with valid data.,Please submit your KYC information with valid data.,Envíe su información KYC con datos válidos.,يرجى تقديم معلومات KYC الخاصة بك مع بيانات صالحة.,Veuillez soumettre vos informations KYC avec des données valides.,Bitte übermitteln Sie Ihre KYC-Informationen mit gültigen Daten.,"Пожалуйста, предоставьте информацию KYC с действительными данными.",Lütfen KYC bilgilerinizi geçerli verilerle gönderin.,कृपया वैध डेटा के साथ अपनी केवाईसी जानकारी जमा करें।,براہ کرم درست ڈیٹا کے ساتھ اپنی KYC معلومات جمع کروائیں۔,请提交您的 KYC 信息以及有效数据。,Biko nyefee ozi KYC gị nwere data ziri ezi.
Back to,Back to,Volver a,العودة إلى,Retour à,Zurück zu,Вернуться к,Geri dön,वापस,پچھلی جانب,回到,laghachi na
Copyright,Copyright,Derechos de autor,حقوق الطبع والنشر,Droit d'auteur,Urheberrechte ©,Авторские права,Telif hakkı,कॉपीराइट,کاپی رائٹ,版权,Nwebiisinka
Y,Y,Y,ي,Oui,Y,Да,e,वाई,Y,是,Y
All Rights Reserved.,All Rights Reserved.,Reservados todos los derechos.,جميع الحقوق محفوظة.,Tous droits réservés.,Alle Rechte vorbehalten.,Все права защищены.,Her hakkı saklıdır.,सर्वाधिकार सुरक्षित।,جملہ حقوق محفوظ ہیں.,版权所有。,Ikike niile echekwabara.
Account Authorization,Account Authorization,Autorización de cuenta,ترخيص الحساب,Autorisation de compte,Kontoautorisierung,Авторизация аккаунта,Hesap Yetkilendirmesi,खाता प्राधिकरण,اکاؤنٹ کی اجازت,账户授权,Ikike Akaụntụ
Need to verify your account. Please check your mail inbox to get the authorization code,Need to verify your account. Please check your mail inbox to get the authorization code,Necesita verificar su cuenta. Por favor revise su bandeja de entrada de correo para obtener el código de autorización.,تحتاج إلى التحقق من حسابك. يرجى التحقق من صندوق البريد الوارد الخاص بك للحصول على رمز التفويض,Besoin de vérifier votre compte. Veuillez vérifier votre boîte de réception pour obtenir le code d'autorisation,"Sie müssen Ihr Konto verifizieren. Bitte überprüfen Sie Ihren E-Mail-Posteingang, um den Autorisierungscode zu erhalten","Необходимо подтвердить свою учетную запись. Пожалуйста, проверьте свой почтовый ящик, чтобы получить код авторизации.",Hesabınızı doğrulamanız gerekiyor. Yetkilendirme kodunu almak için lütfen posta kutunuzu kontrol edin,अपना खाता सत्यापित करने की आवश्यकता है. कृपया प्राधिकरण कोड प्राप्त करने के लिए अपना मेल इनबॉक्स जांचें,اپنے اکاؤنٹ کی تصدیق کرنے کی ضرورت ہے۔ اجازت کا کوڈ حاصل کرنے کے لیے براہ کرم اپنا میل ان باکس چیک کریں۔,需要验证您的帐户。请检查您的邮件收件箱以获取授权码,Kwesịrị inyocha akaụntụ gị. Biko lelee igbe mbata ozi gị ka ị nweta koodu ikike
Authorize,Authorize,Autorizar,يأذن,Autoriser,Autorisieren,Авторизовать,Yetki vermek,अधिकृत,اختیار کرنا,授权,Nye ikike
Password Forgot,Password Forgot,Contraseña olvidada,نسيت كلمة المرور,Mot de passe oublié,Passwort vergessen,Пароль забыл,Şifremi Unuttum,पासवर्ड भूल गए,پاس ورڈ بھول گیا۔,密码忘记,Echefuru okwuntughe
Enter your account email or username to verify,Enter your account email or username to verify,Ingrese el correo electrónico o nombre de usuario de su cuenta para verificar,أدخل البريد الإلكتروني لحسابك أو اسم المستخدم للتحقق,Entrez l'e-mail ou le nom d'utilisateur de votre compte pour vérifier,Geben Sie zur Bestätigung die E-Mail-Adresse oder den Benutzernamen Ihres Kontos ein,Введите адрес электронной почты или имя пользователя своей учетной записи для подтверждения,Doğrulamak için hesap e-postanızı veya kullanıcı adınızı girin,सत्यापित करने के लिए अपना खाता ईमेल या उपयोगकर्ता नाम दर्ज करें,تصدیق کے لیے اپنے اکاؤنٹ کا ای میل یا صارف نام درج کریں۔,输入您的帐户电子邮件或用户名进行验证,Tinye email ma ọ bụ aha njirimara akaụntụ gị iji nyochaa
Send Code,Send Code,Enviar código,إرسال الرمز,Envoyer le code,Code senden,Отправить код,Kodu gönder,कोड भेजो,کوڈ بھیجیں۔,发送代码,Koodu nzipu ozi
Password Reset,Password Reset,Restablecer contraseña,إعادة تعيين كلمة المرور,Réinitialisation du mot de passe,Passwort zurücksetzen,Восстановление пароля,Parola sıfırlama,पासवर्ड रीसेट,پاس ورڈ ری سیٹ کریں۔,重设密码,Tọgharia okwuntughe
Reset your password,Reset your password,Restablece tu contraseña,إعادة تعيين كلمة المرور الخاصة بك,Réinitialisez votre mot de passe,Setze dein Passwort zurück,Сбросить пароль,Şifrenizi sıfırlayın,अपना पासवर्ड रीसेट करें,آپ کا پاس ورڈ دوبارہ ترتیب دیں,重置你的密码,Tọgharịa okwuntughe gị
Please check your email address to get the OTP (One time password).,Please check your email address to get the OTP (One time password).,Verifique su dirección de correo electrónico para obtener la OTP (contraseña de un solo uso).,يرجى التحقق من عنوان بريدك الإلكتروني للحصول على OTP (كلمة المرور لمرة واحدة).,Veuillez vérifier votre adresse e-mail pour obtenir l'OTP (mot de passe à usage unique).,"Bitte überprüfen Sie Ihre E-Mail-Adresse, um das OTP (Einmalpasswort) zu erhalten.","Пожалуйста, проверьте свой адрес электронной почты, чтобы получить OTP (одноразовый пароль).",OTP'yi (Tek kullanımlık şifre) almak için lütfen e-posta adresinizi kontrol edin.,ओटीपी (वन टाइम पासवर्ड) प्राप्त करने के लिए कृपया अपना ईमेल पता जांचें।,OTP (ون ٹائم پاس ورڈ) حاصل کرنے کے لیے براہ کرم اپنا ای میل پتہ چیک کریں۔,请检查您的电子邮件地址以获取 OTP（一次性密码）。,Biko lelee adreesị ozi-e gị ka ị nweta OTP (paswọọdụ otu oge).
Login Information,Login Information,Información de inicio de sesión,معلومات تسجيل الدخول,Informations de connexion,Anmeldeinformationen,Информация для входа,giriş bilgileri,लॉगिन जानकारी,لاگ ان کی معلومات,登录信息,Ozi nbanye
Please input your username and password and login to your account to get access to your dashboard.,Please input your username and password and login to your account to get access to your dashboard.,Ingrese su nombre de usuario y contraseña e inicie sesión en su cuenta para obtener acceso a su panel de control.,يرجى إدخال اسم المستخدم وكلمة المرور الخاصة بك وتسجيل الدخول إلى حسابك لتتمكن من الوصول إلى لوحة التحكم الخاصة بك.,Veuillez saisir votre nom d'utilisateur et votre mot de passe et vous connecter à votre compte pour accéder à votre tableau de bord.,"Bitte geben Sie Ihren Benutzernamen und Ihr Passwort ein und melden Sie sich bei Ihrem Konto an, um Zugriff auf Ihr Dashboard zu erhalten.","Пожалуйста, введите свое имя пользователя и пароль и войдите в свою учетную запись, чтобы получить доступ к панели управления.",Kontrol panelinize erişim sağlamak için lütfen kullanıcı adınızı ve şifrenizi girin ve hesabınıza giriş yapın.,कृपया अपना उपयोगकर्ता नाम और पासवर्ड दर्ज करें और अपने डैशबोर्ड तक पहुंच प्राप्त करने के लिए अपने खाते में लॉगिन करें।,براہ کرم اپنا صارف نام اور پاس ورڈ درج کریں اور اپنے ڈیش بورڈ تک رسائی حاصل کرنے کے لیے اپنے اکاؤنٹ میں لاگ ان کریں۔,请输入您的用户名和密码并登录您的帐户以访问您的仪表板。,Biko tinye aha njirimara na paswọọdụ gị wee banye na akaụntụ gị ka ịnweta dashboard gị.
Or,Or,O,أو,Ou,Oder,Или,Veya,या,یا,或者,Ma ọ bụ
Please input your details and register to your account to get access to your dashboard.,Please input your details and register to your account to get access to your dashboard.,Ingrese sus datos y regístrese en su cuenta para obtener acceso a su panel de control.,يرجى إدخال التفاصيل الخاصة بك والتسجيل في حسابك للوصول إلى لوحة التحكم الخاصة بك.,Veuillez saisir vos coordonnées et vous inscrire à votre compte pour accéder à votre tableau de bord.,"Bitte geben Sie Ihre Daten ein und registrieren Sie sich für Ihr Konto, um Zugriff auf Ihr Dashboard zu erhalten.","Пожалуйста, введите свои данные и зарегистрируйтесь в своей учетной записи, чтобы получить доступ к панели управления.",Kontrol panelinize erişim sağlamak için lütfen bilgilerinizi girin ve hesabınıza kaydolun.,कृपया अपने विवरण दर्ज करें और अपने डैशबोर्ड तक पहुंच प्राप्त करने के लिए अपने खाते में पंजीकरण करें।,براہ کرم اپنی تفصیلات درج کریں اور اپنے ڈیش بورڈ تک رسائی حاصل کرنے کے لیے اپنے اکاؤنٹ میں رجسٹر ہوں۔,请输入您的详细信息并注册您的帐户以访问您的仪表板。,Biko tinye nkọwa gị wee debanye aha na akaụntụ gị ka ịnweta dashboard gị.
I have read agreed with the,I have read agreed with the,He leído de acuerdo con el,لقد قرأت الاتفاق مع,J'ai lu d'accord avec le,"Ich habe gelesen, dass ich damit einverstanden bin",Я прочитал согласен с,okudum katılıyorum,मैंने इससे सहमत होकर पढ़ा है,میں نے اس سے اتفاق پڑھا ہے۔,我已阅读并同意,Agụrụ m ekwenye na nke ahụ
"Terms Of Use , Privacy Policy & Warning","Terms Of Use , Privacy Policy & Warning","Términos de uso, política de privacidad y advertencia",شروط الاستخدام وسياسة الخصوصية والتحذير,"Conditions d'utilisation, politique de confidentialité et avertissement","Nutzungsbedingungen, Datenschutzrichtlinie und Warnung","Условия использования, политика конфиденциальности и предупреждения","Kullanım Koşulları, Gizlilik Politikası ve Uyarı","उपयोग की शर्तें, गोपनीयता नीति और चेतावनी",استعمال کی شرائط، رازداری کی پالیسی اور وارننگ,使用条款、隐私政策和警告,"Usoro ojiji, Amụma nzuzo & ịdọ aka ná ntị"
Register Now,Register Now,Regístrese ahora,سجل الآن,Inscrivez-vous maintenant,Jetzt registrieren,Зарегистрироваться,Şimdi üye Ol,अभी पंजीकरण करें,ابھی رجسٹر کریں,现在注册,Debanye aha ugbu a
Already Have An Account,Already Have An Account,Ya tienes una cuenta,لديك حساب بالفعل,Vous avez déjà un compte,Sie haben bereits ein Konto,У вас уже есть аккаунт,Zaten hesabınız var mı,क्या आपके पास पहले से एक खाता मौजूद है,پہلے سے ہی ایک اکاؤنٹ ہے۔,已有账户,Enweela Akaụntụ
KYC Information,KYC Information,Información KYC,معلومات KYC,Informations KYC,KYC-Informationen,Информация KYC,KYC Bilgileri,केवाईसी सूचना,KYC معلومات,了解您的客户信息,Ozi KYC
Your KYC information is rejected.,Your KYC information is rejected.,Su información KYC es rechazada.,تم رفض معلومات KYC الخاصة بك.,Vos informations KYC sont rejetées.,Ihre KYC-Informationen werden abgelehnt.,Ваша информация KYC отклонена.,KYC bilgileriniz reddedildi.,आपकी केवाईसी जानकारी अस्वीकार कर दी गई है.,آپ کی KYC معلومات کو مسترد کر دیا گیا ہے۔,您的 KYC 信息被拒绝。,Ajụjụ ozi KYC gị.
Verify KYC,Verify KYC,Verificar KYC,التحقق من KYC,Vérifier KYC,Überprüfen Sie KYC,Подтвердить KYC,KYC'yi doğrulayın,केवाईसी सत्यापित करें,KYC کی تصدیق کریں۔,验证 KYC,Nyochaa KYC
Please verify KYC information,Please verify KYC information,Por favor verifique la información KYC,يرجى التحقق من معلومات KYC,Veuillez vérifier les informations KYC,Bitte überprüfen Sie die KYC-Informationen,"Пожалуйста, проверьте информацию KYC",Lütfen KYC bilgilerini doğrulayın,कृपया केवाईसी जानकारी सत्यापित करें,براہ کرم KYC معلومات کی تصدیق کریں۔,请验证 KYC 信息,Biko nyochaa ozi KYC
Get Support,Get Support,Obtenga soporte,احصل على الدعم,Obtenir de l'aide,Hole dir Unterstützung,Получать поддержку,Destek almak,समर्थन प्राप्त करें,مدد حاصل کریں,得到支持,Nweta nkwado
Fill up information and verify your KYC.,Fill up information and verify your KYC.,Complete la información y verifique su KYC.,املأ المعلومات وتحقق من KYC الخاص بك.,Remplissez les informations et vérifiez votre KYC.,Geben Sie Informationen ein und überprüfen Sie Ihr KYC.,Заполните информацию и подтвердите свой KYC.,Bilgileri doldurun ve KYC'nizi doğrulayın.,जानकारी भरें और अपना केवाईसी सत्यापित करें।,معلومات پُر کریں اور اپنے KYC کی تصدیق کریں۔,填写信息并验证您的 KYC。,Dejupụta ozi wee nyochaa KYC gị.
Profile Settings,Profile Settings,Configuración de perfil,إعدادات الملف الشخصي,Paramètres du profil,Profileinstellungen,Настройки профиля,Profil ayarları,पार्श्वचित्र समायोजन,پروفائل کی ترتیبات,配置文件设置,Ntọala profaịlụ
Change,Change,Cambiar,يتغير,Changement,Ändern,Изменять,Değiştirmek,परिवर्तन,تبدیلی,改变,Gbanwee
Support Tickets,Support Tickets,Boletos de soporte,تذاكر الدعم,Billets d'assistance,Support-Tickets,Билеты в службу поддержки,destek biletleri,समर्थन टिकट,سپورٹ ٹکٹ,支持票,Tiketi nkwado
Add New Ticket,Add New Ticket,Agregar nuevo boleto,إضافة تذكرة جديدة,Ajouter un nouveau billet,Neues Ticket hinzufügen,Добавить новый билет,Yeni Bilet Ekle,नया टिकट जोड़ें,نیا ٹکٹ شامل کریں۔,添加新票,Tinye Tiketi ọhụrụ
Search,Search,Buscar,يبحث,Recherche,Suchen,Поиск,Aramak,खोज,تلاش کریں۔,搜索,Chọọ
Transfer Money Charges,Transfer Money Charges,Cargos por transferencia de dinero,رسوم تحويل الأموال,Frais de transfert d'argent,Gebühren für Überweisungen,Комиссия за перевод денег,Para Transferi Ücretleri,धन अंतरण शुल्क,ٹرانسفر منی چارجز,转账费用,Nyefee ụgwọ ego
Exchange Money Charges,Exchange Money Charges,Cargos por cambio de dinero,رسوم صرف الأموال,Frais de change,Wechselkursgebühren,Комиссия за обмен денег,Döviz Parası Ücretleri,विनिमय धन शुल्क,ایکسچینج منی چارجز,兑换货币费用,Gbanwee ụgwọ ego
Add Money Charge,Add Money Charge,Agregar cargo de dinero,إضافة تهمة المال,Ajouter des frais d'argent,Geldgebühr hinzufügen,Добавить денежный сбор,Para Ücreti Ekle,धन प्रभार जोड़ें,منی چارج شامل کریں۔,添加金钱费用,Tinye ụgwọ ego
Money Out Charges,Money Out Charges,Cargos por retiro de dinero,رسوم صرف الأموال,Frais de retrait d'argent,Gebühren für Geldauszahlungen,Комиссия за вывод денег,Para Çıkışı Ücretleri,मनी आउट शुल्क,منی آؤٹ چارجز,取款费用,Ịkwụ ụgwọ ego
Android App URL,Android App URL,URL de la aplicación de Android,عنوان URL لتطبيق Android,URL de l'application Android,Android-App-URL,URL-адрес приложения Android,Android Uygulama URL'si,एंड्रॉइड ऐप यूआरएल,اینڈرائیڈ ایپ یو آر ایل,安卓应用程序网址,Ngwa Android URL
iOS App URL,iOS App URL,URL de la aplicación iOS,عنوان URL لتطبيق iOS,URL de l'application iOS,iOS-App-URL,URL-адрес приложения для iOS,iOS Uygulama URL'si,आईओएस ऐप यूआरएल,iOS ایپ URL,iOS 应用程序网址,iOS ngwa URL
From Address,From Address,De la dirección,من العنوان,De l'adresse,Von der Adresse,С адреса,Adresten,इस पते से,ایڈریس سے,发件人地址,Site na adreesị
(Max 5),(Max 5),(máximo 5),(الحد الأقصى 5),(Maximum 5),(Max. 5),(Макс. 5),(Maksimum 5),(अधिकतम 5),(زیادہ سے زیادہ 5),（最多 5 个）,(Max 5)
Announcement Category,Announcement Category,Categoría de anuncio,فئة الإعلان,Catégorie d'annonce,Ankündigungskategorie,Категория объявления,Duyuru Kategorisi,घोषणा श्रेणी,اعلان کا زمرہ,公告类别,Otu ọkwa ọkwa
category?,category?,¿categoría?,فئة؟,catégorie?,Kategorie?,категория?,kategori?,वर्ग?,قسم؟,类别？,udi?
Remove,Remove,Eliminar,يزيل,Retirer,Entfernen,Удалять,Kaldırmak,निकालना,دور,消除,Wepu
Category added successfully!,Category added successfully!,¡Categoría agregada exitosamente!,تمت إضافة الفئة بنجاح!,Catégorie ajoutée avec succès !,Kategorie erfolgreich hinzugefügt!,Категория успешно добавлена!,Kategori başarıyla eklendi!,श्रेणी सफलतापूर्वक जोड़ी गई!,زمرہ کامیابی سے شامل ہو گیا!,类别添加成功！,Otu agbakwunyere nke ọma!
Category updated successfully!,Category updated successfully!,¡Categoría actualizada exitosamente!,تم تحديث الفئة بنجاح!,Catégorie mise à jour avec succès !,Kategorie erfolgreich aktualisiert!,Категория успешно обновлена!,Kategori başarıyla güncellendi!,श्रेणी सफलतापूर्वक अपडेट की गई!,زمرہ کامیابی سے اپ ڈیٹ ہو گیا!,类别更新成功！,Emelitere otu nke ọma!
